accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
27,Chennai,Tamil Nadu,13.171632,80.200311,9/5/2023,5:00,5,Tuesday,0,highway,4,1,rain,medium,29,high,weather,minor,1,1,0,None,0.45
28,Mumbai,Maharashtra,18.876038,72.816062,1/9/2024,8:00,8,Tuesday,0,rural,3,1,rain,medium,28,high,overspeeding,minor,1,1,1,None,0.6
29,Delhi,Delhi,28.494878,77.089734,4/8/2025,17:00,17,Tuesday,0,urban,6,0,fog,low,17,high,drunk driving,minor,4,0,1,None,0.8
30,Bangalore,Karnataka,13.181455,77.704682,5/21/2023,17:00,17,Sunday,1,rural,3,1,clear,high,36,high,distraction,minor,1,1,1,None,0.45
31,Mumbai,Maharashtra,19.277812,72.889938,12/31/2024,7:00,7,Tuesday,0,rural,6,0,clear,high,24,low,poor road,minor,3,1,0,None,0.1
32,Kolkata,West Bengal,22.644485,88.376914,10/11/2024,7:00,7,Friday,0,urban,6,1,fog,low,18,low,overspeeding,minor,5,4,0,None,0.45
33,Bangalore,Karnataka,13.007483,77.745779,10/9/2023,3:00,3,Monday,0,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,0,None,0.25
34,Delhi,Delhi,28.767686,77.102505,6/2/2022,17:00,17,Thursday,0,rural,1,1,fog,low,27,medium,poor road,minor,5,2,1,None,0.6
35,Chandigarh,Punjab,30.79305,76.864728,12/21/2023,4:00,4,Thursday,0,highway,6,0,clear,high,35,low,overspeeding,minor,5,1,0,None,0.1
36,Delhi,Delhi,28.513789,77.26605,1/2/2024,14:00,14,Tuesday,0,rural,6,1,fog,low,24,high,drunk driving,minor,1,0,0,None,0.65
37,Chennai,Tamil Nadu,12.941766,80.271836,2/19/2023,18:00,18,Sunday,1,highway,5,1,clear,high,32,low,weather,fatal,4,4,1,None,0.45
38,Pune,Maharashtra,18.497326,73.919761,12/4/2023,6:00,6,Monday,0,rural,5,0,rain,medium,20,low,drunk driving,minor,2,1,0,None,0.25
39,Kolkata,West Bengal,22.568337,88.326718,9/2/2023,1:00,1,Saturday,1,rural,4,1,rain,medium,30,high,weather,minor,4,3,0,None,0.45
40,Mumbai,Maharashtra,18.945509,72.865677,11/19/2024,22:00,22,Tuesday,0,highway,5,1,rain,medium,40,high,distraction,minor,2,2,0,None,0.45
41,Chandigarh,Punjab,30.739178,76.722246,7/21/2023,9:00,9,Friday,0,urban,4,0,rain,medium,29,high,drunk driving,fatal,3,3,1,None,0.8
42,Hyderabad,Telangana,17.36441,78.442288,3/1/2022,22:00,22,Tuesday,0,urban,4,1,rain,medium,20,medium,overspeeding,major,1,0,0,None,0.25
43,Chennai,Tamil Nadu,13.174093,80.150346,1/13/2025,13:00,13,Monday,0,highway,2,1,clear,high,20,low,weather,minor,1,1,0,None,0.1
44,Chandigarh,Punjab,30.75772,76.718682,11/1/2022,0:00,0,Tuesday,0,rural,3,1,rain,medium,26,low,drunk driving,major,2,2,0,None,0.25
45,Bangalore,Karnataka,13.032625,77.614829,6/21/2024,9:00,9,Friday,0,urban,2,1,rain,medium,21,high,distraction,minor,1,1,1,None,0.6
46,Chandigarh,Punjab,30.774779,76.862232,4/11/2025,11:00,11,Friday,0,urban,6,1,rain,low,31,low,poor road,major,4,4,0,None,0.45
47,Delhi,Delhi,28.683622,77.273941,2/6/2023,15:00,15,Monday,0,rural,2,1,rain,medium,16,medium,poor road,major,3,3,0,None,0.25
48,Hyderabad,Telangana,17.384544,78.420669,5/23/2022,14:00,14,Monday,0,highway,4,0,rain,low,22,high,weather,major,2,0,0,None,0.65
49,Hyderabad,Telangana,17.217784,78.280672,12/23/2024,13:00,13,Monday,0,rural,3,1,fog,low,31,medium,distraction,major,2,2,0,None,0.45
50,Pune,Maharashtra,18.482992,73.944129,2/29/2024,9:00,9,Thursday,0,highway,2,1,clear,high,32,high,overspeeding,major,3,1,1,None,0.45
51,Hyderabad,Telangana,17.224481,78.470636,2/23/2023,7:00,7,Thursday,0,rural,3,1,fog,low,17,medium,drunk driving,major,2,2,0,None,0.45
52,Bangalore,Karnataka,12.863932,77.797043,7/21/2024,2:00,2,Sunday,1,urban,4,0,fog,low,15,low,drunk driving,major,1,0,0,None,0.45
53,Mumbai,Maharashtra,19.090552,72.9844,3/14/2023,21:00,21,Tuesday,0,rural,1,1,rain,low,29,medium,poor road,minor,3,0,0,None,0.45
54,Chandigarh,Punjab,30.790067,76.805399,9/30/2024,3:00,3,Monday,0,highway,5,1,rain,low,25,low,weather,major,3,1,0,None,0.45
55,Delhi,Delhi,28.502883,77.165457,11/17/2022,6:00,6,Thursday,0,urban,5,1,fog,low,32,medium,drunk driving,minor,3,3,0,None,0.45
56,Chandigarh,Punjab,30.774233,76.72531,9/7/2023,0:00,0,Thursday,0,urban,3,0,clear,high,40,low,distraction,major,2,1,0,None,0.1
57,Mumbai,Maharashtra,19.232608,72.869852,6/4/2023,6:00,6,Sunday,1,urban,6,0,fog,low,21,medium,weather,major,2,1,0,None,0.45
58,Chennai,Tamil Nadu,12.959773,80.153419,6/28/2022,2:00,2,Tuesday,0,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,0,None,0.1
59,Chennai,Tamil Nadu,12.985135,80.226248,3/28/2025,23:00,23,Friday,0,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,0,None,0.85
60,Mumbai,Maharashtra,19.061169,72.872827,4/17/2024,14:00,14,Wednesday,0,urban,5,1,clear,high,19,low,poor road,minor,2,0,0,None,0.1
61,Delhi,Delhi,28.463133,76.976698,12/31/2024,9:00,9,Tuesday,0,rural,1,1,rain,medium,39,medium,distraction,major,1,0,1,None,0.4
62,Chennai,Tamil Nadu,12.852053,80.121615,5/13/2023,14:00,14,Saturday,1,urban,6,1,rain,medium,27,high,distraction,major,3,1,0,None,0.45
63,Chennai,Tamil Nadu,13.017299,80.224813,4/2/2024,0:00,0,Tuesday,0,rural,3,0,fog,low,26,low,overspeeding,major,4,1,0,None,0.45
64,Pune,Maharashtra,18.560997,73.811173,8/17/2024,23:00,23,Saturday,1,rural,2,1,fog,low,24,medium,drunk driving,major,2,2,0,None,0.45
65,Chennai,Tamil Nadu,12.97141,80.197487,12/11/2023,7:00,7,Monday,0,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,0,None,0.45
66,Mumbai,Maharashtra,19.264702,72.886613,9/22/2022,10:00,10,Thursday,0,highway,1,1,clear,high,21,high,poor road,major,2,2,1,None,0.45
67,Mumbai,Maharashtra,18.811624,72.877651,2/27/2022,5:00,5,Sunday,1,rural,2,1,fog,low,17,high,drunk driving,minor,5,5,0,None,0.65
68,Chandigarh,Punjab,30.674067,76.774623,4/23/2024,21:00,21,Tuesday,0,rural,4,0,clear,high,36,high,distraction,major,3,1,0,None,0.3
69,Mumbai,Maharashtra,19.208566,72.896859,5/26/2023,6:00,6,Friday,0,highway,6,1,fog,low,34,low,poor road,major,1,1,0,None,0.45
70,Hyderabad,Telangana,17.530898,78.305176,11/26/2024,19:00,19,Tuesday,0,highway,2,1,fog,low,38,low,poor road,minor,3,3,1,None,0.6
71,Pune,Maharashtra,18.442448,73.878574,3/3/2024,14:00,14,Sunday,1,urban,4,0,fog,low,19,high,drunk driving,major,2,2,0,None,0.65
72,Delhi,Delhi,28.47365,77.060874,3/24/2023,11:00,11,Friday,0,highway,2,1,clear,high,21,high,weather,fatal,5,5,0,None,0.5
73,Bangalore,Karnataka,12.984625,77.767823,9/21/2022,6:00,6,Wednesday,0,rural,1,1,rain,low,19,low,distraction,fatal,1,1,0,None,0.65
74,Bangalore,Karnataka,12.954595,77.488507,2/25/2024,13:00,13,Sunday,1,highway,1,1,fog,low,29,medium,overspeeding,major,2,0,0,None,0.45
75,Chandigarh,Punjab,30.78901,76.887359,5/2/2022,19:00,19,Monday,0,urban,1,1,clear,high,23,high,weather,minor,4,0,1,None,0.45
76,Pune,Maharashtra,18.528017,73.850369,9/5/2023,6:00,6,Tuesday,0,urban,4,1,rain,low,39,low,poor road,minor,2,1,0,None,0.45
77,Pune,Maharashtra,18.549441,73.804096,4/14/2025,5:00,5,Monday,0,urban,4,1,fog,low,39,high,drunk driving,minor,2,0,0,None,0.65
78,Chennai,Tamil Nadu,12.919435,80.207627,3/28/2023,15:00,15,Tuesday,0,urban,2,1,fog,low,27,high,poor road,fatal,5,5,0,None,0.85
79,Delhi,Delhi,28.813866,77.149528,1/31/2025,21:00,21,Friday,0,urban,6,1,fog,low,19,high,poor road,minor,3,1,0,None,0.65
80,Chandigarh,Punjab,30.658767,76.836989,3/1/2024,14:00,14,Friday,0,highway,6,0,rain,medium,36,medium,drunk driving,major,3,1,0,None,0.25
81,Pune,Maharashtra,18.499609,73.81264,6/14/2024,6:00,6,Friday,0,highway,2,0,rain,medium,37,medium,overspeeding,minor,3,0,0,None,0.25
82,Kolkata,West Bengal,22.641847,88.381884,11/5/2024,22:00,22,Tuesday,0,rural,1,1,fog,low,30,low,overspeeding,minor,1,0,0,None,0.45
83,Hyderabad,Telangana,17.386509,78.48781,4/11/2022,0:00,0,Monday,0,rural,1,1,rain,medium,38,low,weather,major,3,0,0,None,0.25
84,Hyderabad,Telangana,17.335804,78.271751,4/21/2023,3:00,3,Friday,0,urban,5,1,fog,low,40,low,weather,major,2,2,0,None,0.45
85,Chandigarh,Punjab,30.645926,76.791403,1/23/2025,17:00,17,Thursday,0,highway,2,0,fog,low,36,medium,weather,major,3,2,1,None,0.6
86,Chennai,Tamil Nadu,12.93952,80.153093,12/7/2023,14:00,14,Thursday,0,rural,2,1,rain,low,25,medium,overspeeding,minor,5,1,0,None,0.45
87,Hyderabad,Telangana,17.512138,78.471549,4/24/2024,6:00,6,Wednesday,0,highway,1,0,rain,low,30,low,poor road,minor,5,5,0,None,0.45
88,Mumbai,Maharashtra,18.803193,72.982741,9/28/2022,4:00,4,Wednesday,0,highway,3,0,fog,low,19,low,distraction,minor,5,4,0,None,0.45
89,Delhi,Delhi,28.838921,76.991482,2/16/2025,22:00,22,Sunday,1,highway,3,0,clear,high,24,high,distraction,minor,2,1,0,None,0.3
90,Hyderabad,Telangana,17.470165,78.472552,9/24/2022,2:00,2,Saturday,1,urban,3,1,rain,medium,20,medium,weather,major,1,1,0,None,0.25
91,Pune,Maharashtra,18.537548,73.723176,10/14/2022,23:00,23,Friday,0,rural,3,0,rain,medium,38,high,drunk driving,major,5,3,0,None,0.45
92,Bangalore,Karnataka,12.941515,77.674347,11/14/2024,5:00,5,Thursday,0,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,0,None,0.65
93,Pune,Maharashtra,18.467712,73.954984,3/14/2025,9:00,9,Friday,0,rural,1,1,fog,low,18,high,poor road,minor,5,5,1,None,0.8
94,Hyderabad,Telangana,17.44697,78.449607,9/19/2023,18:00,18,Tuesday,0,urban,1,0,fog,low,19,high,overspeeding,minor,2,1,1,None,0.8
95,Mumbai,Maharashtra,19.250366,72.762997,6/6/2024,22:00,22,Thursday,0,urban,4,0,fog,low,35,medium,poor road,major,4,4,0,None,0.45
96,Kolkata,West Bengal,22.48522,88.321126,9/5/2022,2:00,2,Monday,0,rural,4,1,clear,high,37,low,overspeeding,minor,3,3,0,None,0.1
97,Chandigarh,Punjab,30.662289,76.860184,8/3/2024,7:00,7,Saturday,1,rural,4,0,clear,high,27,medium,weather,major,3,0,0,None,0.1
98,Pune,Maharashtra,18.687205,73.858717,3/22/2023,17:00,17,Wednesday,0,highway,4,0,clear,high,16,medium,distraction,major,4,4,1,None,0.25
99,Chandigarh,Punjab,30.729891,76.786151,4/17/2022,6:00,6,Sunday,1,highway,2,0,fog,low,34,low,drunk driving,minor,5,2,0,None,0.45
100,Chennai,Tamil Nadu,12.810721,80.19735,8/5/2023,18:00,18,Saturday,1,urban,2,1,fog,low,36,high,poor road,minor,4,2,1,None,0.8
101,Kolkata,West Bengal,22.537913,88.323836,7/16/2023,23:00,23,Sunday,1,highway,5,1,rain,low,40,high,distraction,minor,3,1,0,None,0.65
102,Bangalore,Karnataka,13.045999,77.520041,4/24/2023,12:00,12,Monday,0,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,0,None,0.45
103,Bangalore,Karnataka,12.848361,77.433807,10/26/2022,7:00,7,Wednesday,0,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,0,None,0.1
104,Bangalore,Karnataka,13.057964,77.590444,12/10/2023,20:00,20,Sunday,1,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,0,None,0.1
105,Mumbai,Maharashtra,18.990602,72.799954,12/9/2024,20:00,20,Monday,0,highway,2,1,rain,low,23,low,drunk driving,major,1,0,0,None,0.45
106,Hyderabad,Telangana,17.426893,78.488724,3/1/2024,13:00,13,Friday,0,highway,4,1,fog,low,39,low,distraction,minor,5,1,0,None,0.45
107,Mumbai,Maharashtra,18.838523,72.976824,11/22/2023,22:00,22,Wednesday,0,rural,1,1,rain,medium,15,low,drunk driving,minor,5,1,0,None,0.25
108,Chennai,Tamil Nadu,13.10543,80.11737,12/20/2023,4:00,4,Wednesday,0,rural,6,0,clear,high,29,medium,weather,minor,2,1,0,None,0.1
109,Delhi,Delhi,28.519189,76.859451,2/3/2024,2:00,2,Saturday,1,rural,1,0,rain,low,27,high,poor road,minor,1,0,0,None,0.65
110,Bangalore,Karnataka,12.94701,77.785423,11/19/2024,16:00,16,Tuesday,0,rural,1,0,clear,high,34,low,distraction,minor,5,5,0,None,0.1
111,Hyderabad,Telangana,17.49119,78.27063,2/15/2025,8:00,8,Saturday,1,urban,4,0,rain,low,31,high,poor road,minor,3,0,1,None,0.8
112,Chennai,Tamil Nadu,12.812744,80.226751,9/7/2022,20:00,20,Wednesday,0,highway,2,0,fog,low,17,low,drunk driving,major,5,2,0,None,0.45
113,Chennai,Tamil Nadu,13.126298,80.273119,7/7/2024,9:00,9,Sunday,1,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,1,None,0.25
114,Kolkata,West Bengal,22.686595,88.399393,8/31/2024,15:00,15,Saturday,1,rural,6,0,fog,low,31,medium,weather,fatal,1,1,0,None,0.65
115,Hyderabad,Telangana,17.416162,78.471995,2/12/2022,11:00,11,Saturday,1,rural,4,1,rain,low,17,high,distraction,minor,3,1,0,None,0.65
116,Chennai,Tamil Nadu,12.829772,80.266893,11/23/2023,5:00,5,Thursday,0,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,0,None,0.65
117,Chandigarh,Punjab,30.703228,76.745141,4/20/2022,22:00,22,Wednesday,0,highway,5,0,rain,low,36,high,drunk driving,minor,4,4,0,None,0.65
118,Pune,Maharashtra,18.671835,73.77906,6/9/2023,13:00,13,Friday,0,urban,3,0,rain,low,18,low,poor road,minor,1,1,0,None,0.45
119,Chandigarh,Punjab,30.780406,76.759015,11/28/2024,19:00,19,Thursday,0,rural,1,0,rain,medium,26,high,drunk driving,major,3,0,1,None,0.6
120,Bangalore,Karnataka,12.863873,77.573049,6/23/2023,14:00,14,Friday,0,rural,3,0,clear,high,20,high,drunk driving,major,4,0,0,None,0.3
121,Chandigarh,Punjab,30.612508,76.8941,9/7/2024,11:00,11,Saturday,1,highway,2,1,rain,medium,15,medium,drunk driving,minor,3,2,0,None,0.25
122,Pune,Maharashtra,18.613759,73.739609,11/8/2022,17:00,17,Tuesday,0,highway,5,0,clear,high,16,high,weather,major,4,1,1,None,0.45
123,Kolkata,West Bengal,22.615566,88.245733,9/2/2022,13:00,13,Friday,0,urban,4,1,clear,high,25,low,poor road,major,3,1,0,None,0.1
124,Chennai,Tamil Nadu,12.917829,80.107956,9/9/2022,0:00,0,Friday,0,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,0,None,0.45
125,Chandigarh,Punjab,30.669447,76.798384,7/14/2024,13:00,13,Sunday,1,urban,5,1,fog,low,38,medium,weather,minor,4,3,0,None,0.45
126,Chennai,Tamil Nadu,13.023148,80.267046,10/24/2023,22:00,22,Tuesday,0,rural,4,0,clear,high,36,low,distraction,major,3,3,0,None,0.1
127,Hyderabad,Telangana,17.469395,78.426902,6/12/2022,23:00,23,Sunday,1,urban,1,0,rain,low,17,medium,poor road,major,3,1,0,None,0.45
128,Pune,Maharashtra,18.445959,73.866259,12/5/2022,13:00,13,Monday,0,rural,4,1,clear,high,20,medium,distraction,major,2,2,0,None,0.1
129,Bangalore,Karnataka,12.810804,77.644324,4/12/2023,15:00,15,Wednesday,0,highway,3,0,fog,low,31,low,weather,minor,1,1,0,None,0.45
130,Kolkata,West Bengal,22.605036,88.211938,7/6/2022,20:00,20,Wednesday,0,urban,5,1,rain,medium,22,medium,overspeeding,major,1,1,0,None,0.25
131,Chandigarh,Punjab,30.749547,76.70627,1/17/2024,5:00,5,Wednesday,0,urban,1,0,fog,low,24,high,poor road,minor,4,2,0,None,0.65
132,Delhi,Delhi,28.8028,76.835013,6/27/2022,15:00,15,Monday,0,highway,4,0,rain,medium,19,low,drunk driving,fatal,2,2,0,None,0.45
133,Pune,Maharashtra,18.571932,73.724503,1/21/2025,3:00,3,Tuesday,0,highway,2,0,clear,high,31,low,drunk driving,major,3,0,0,None,0.1
134,Bangalore,Karnataka,12.913562,77.619006,10/30/2023,19:00,19,Monday,0,highway,3,0,rain,medium,34,medium,poor road,major,4,3,1,None,0.4
135,Chandigarh,Punjab,30.771578,76.798125,9/24/2023,20:00,20,Sunday,1,highway,3,1,rain,medium,25,high,weather,fatal,5,5,0,None,0.65
136,Chennai,Tamil Nadu,12.910539,80.183088,7/8/2023,12:00,12,Saturday,1,highway,5,1,clear,high,28,high,poor road,minor,3,2,0,None,0.3
137,Hyderabad,Telangana,17.57514,78.484234,7/23/2023,0:00,0,Sunday,1,highway,5,0,rain,low,17,low,distraction,major,1,0,0,None,0.45
138,Pune,Maharashtra,18.697073,73.828047,11/28/2022,4:00,4,Monday,0,highway,2,0,clear,high,20,high,weather,minor,5,2,0,None,0.3
139,Mumbai,Maharashtra,19.257558,72.75368,2/13/2024,10:00,10,Tuesday,0,highway,3,1,fog,low,30,high,weather,major,3,0,1,None,0.8
140,Chennai,Tamil Nadu,13.099257,80.226182,9/21/2024,8:00,8,Saturday,1,urban,4,0,rain,low,32,high,poor road,major,1,0,1,None,0.8
141,Chandigarh,Punjab,30.612831,76.810119,11/23/2024,22:00,22,Saturday,1,highway,4,1,rain,medium,17,medium,drunk driving,minor,4,4,0,None,0.25
142,Bangalore,Karnataka,12.851488,77.589232,10/22/2024,21:00,21,Tuesday,0,urban,2,1,fog,low,36,high,drunk driving,minor,1,0,0,None,0.65
143,Kolkata,West Bengal,22.408139,88.322983,12/27/2023,21:00,21,Wednesday,0,rural,3,0,rain,medium,29,high,distraction,minor,1,0,0,None,0.45
144,Kolkata,West Bengal,22.470344,88.318475,6/5/2022,6:00,6,Sunday,1,urban,3,1,clear,high,38,medium,drunk driving,minor,3,3,0,None,0.1
145,Kolkata,West Bengal,22.672696,88.400666,1/27/2023,15:00,15,Friday,0,highway,2,0,clear,high,28,low,distraction,major,2,1,0,None,0.1
146,Chennai,Tamil Nadu,13.145041,80.133716,5/6/2022,7:00,7,Friday,0,highway,5,0,fog,low,15,high,weather,major,1,0,0,None,0.65
147,Kolkata,West Bengal,22.524367,88.453597,7/31/2024,1:00,1,Wednesday,0,urban,5,0,rain,medium,26,low,weather,minor,2,0,0,None,0.25
148,Bangalore,Karnataka,13.055067,77.418018,10/19/2023,11:00,11,Thursday,0,rural,4,1,rain,low,30,low,distraction,minor,3,2,0,None,0.45
149,Delhi,Delhi,28.654528,76.925723,10/5/2022,2:00,2,Wednesday,0,urban,4,1,rain,low,35,low,weather,major,5,2,0,None,0.45
150,Bangalore,Karnataka,13.174917,77.602348,11/4/2023,21:00,21,Saturday,1,rural,4,1,rain,low,29,medium,drunk driving,major,4,4,0,None,0.45
151,Pune,Maharashtra,18.479329,73.88208,11/6/2022,22:00,22,Sunday,1,rural,6,0,clear,high,33,low,poor road,fatal,5,5,0,None,0.3
152,Chandigarh,Punjab,30.65561,76.831544,4/25/2024,3:00,3,Thursday,0,highway,6,1,rain,medium,25,low,poor road,fatal,1,1,0,None,0.45
153,Bangalore,Karnataka,13.052805,77.617588,7/23/2024,14:00,14,Tuesday,0,urban,3,1,rain,medium,26,medium,weather,minor,5,0,0,None,0.25
154,Delhi,Delhi,28.834402,77.209459,12/23/2022,12:00,12,Friday,0,rural,5,1,fog,low,33,medium,poor road,fatal,3,3,0,None,0.65
155,Mumbai,Maharashtra,19.090344,72.902108,3/28/2022,10:00,10,Monday,0,urban,6,0,clear,high,35,high,weather,fatal,2,2,1,None,0.65
156,Chennai,Tamil Nadu,13.196352,80.138535,2/4/2023,7:00,7,Saturday,1,urban,5,0,fog,low,32,medium,drunk driving,minor,1,1,0,None,0.45
157,Chennai,Tamil Nadu,13.152998,80.258685,9/15/2024,22:00,22,Sunday,1,rural,1,0,fog,low,19,high,distraction,major,4,2,0,None,0.65
158,Delhi,Delhi,28.671166,77.064188,2/25/2023,3:00,3,Saturday,1,rural,6,1,clear,high,27,high,distraction,minor,4,3,0,None,0.3
159,Kolkata,West Bengal,22.535434,88.290362,1/9/2025,8:00,8,Thursday,0,highway,5,0,clear,high,33,low,distraction,major,1,1,1,None,0.25
160,Pune,Maharashtra,18.522797,73.933778,5/17/2022,20:00,20,Tuesday,0,urban,4,0,fog,low,17,high,poor road,fatal,1,1,0,None,0.85
161,Bangalore,Karnataka,12.828296,77.719866,1/31/2025,1:00,1,Friday,0,rural,3,1,fog,low,35,low,overspeeding,major,2,0,0,None,0.45
162,Pune,Maharashtra,18.435528,73.934128,5/20/2023,11:00,11,Saturday,1,rural,1,1,rain,low,19,low,poor road,major,5,1,0,None,0.45
163,Chennai,Tamil Nadu,12.921984,80.115306,3/24/2023,18:00,18,Friday,0,rural,5,1,clear,high,21,medium,poor road,major,5,5,1,None,0.25
164,Chennai,Tamil Nadu,12.841819,80.258805,5/6/2022,0:00,0,Friday,0,rural,2,1,rain,low,37,low,drunk driving,minor,4,0,0,None,0.45
165,Delhi,Delhi,28.492703,76.815886,4/12/2022,7:00,7,Tuesday,0,highway,1,1,fog,low,17,high,weather,major,4,3,0,None,0.65
166,Chandigarh,Punjab,30.677187,76.727473,3/30/2025,4:00,4,Sunday,1,rural,4,0,rain,low,16,medium,drunk driving,fatal,5,5,0,None,0.65
167,Bangalore,Karnataka,13.068595,77.762442,12/22/2022,17:00,17,Thursday,0,urban,1,1,clear,high,33,medium,poor road,fatal,5,5,1,None,0.45
168,Chennai,Tamil Nadu,12.891896,80.227598,1/21/2022,18:00,18,Friday,0,urban,3,1,clear,high,29,high,poor road,minor,2,1,1,None,0.45
169,Chandigarh,Punjab,30.788551,76.774195,1/22/2022,7:00,7,Saturday,1,highway,5,1,rain,low,37,low,drunk driving,minor,4,3,0,None,0.45
170,Chennai,Tamil Nadu,13.057219,80.184551,9/18/2022,6:00,6,Sunday,1,highway,6,1,rain,low,38,medium,drunk driving,fatal,4,4,0,None,0.65
171,Delhi,Delhi,28.555907,77.177935,9/2/2022,21:00,21,Friday,0,highway,1,1,fog,low,37,low,drunk driving,minor,4,0,0,None,0.45
